species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Crepis capillaris,COMPOSITAE,Crepis,capillaris,Smooth Hawksbeard,native,(L.) Wallr.,Vas_572,,"
European Temperate element.
Smooth Hawk’s-beard is a winter annual found in ruderal habitats and open grassland (BH7) in most parts of the British Isles.
Frequent (229). In northern Lancashire C. capillaris is a common species in western areas but further east it is found on roadside verges and in river valleys. There has been no change in its distribution locally or nationally.

",Eurasian–Temperate
Crepis paludosa,COMPOSITAE,Crepis,paludosa,Marsh Hawksbeard,native,(L.) Moench,Vas_576,,"
European Boreo-temperate element.
Marsh Hawk’s-beard is a perennial herb found in wet shady places, often by streamsides and on rocks in woodlands (BH11, 16). It occurs in northern England, Scotland, Wales and Ireland.
Frequent (122). C. paludosa is found in northern and eastern parts of northern Lancashire where it is particularly characteristic of wet places in valley woodlands in Bowland. The ‘New Atlas’ reported losses at the southern edge of its distribution in Britain and Ireland but ‘Local Change’ reported no significant change. There has been no change in its distribution in northern Lancashire.

",Eurosiberian–Temperate
Crepis vesicaria,COMPOSITAE,Crepis,vesicaria,,neophyte,L.,Vas_578,,"
Neophyte. This is a robust biennial species of ruderal habitats and is a native of the Mediterranean region and south-western Asia. It was first recorded in Britain in 1713 and spread rapidly. However whilst it is common in central and southern areas of Britain and Ireland it is rare in much of northern England and Scotland.
Rare (11). C. vesicaria was first found in northern Lancashire from fields near St Michael’s (c. SD44Q) between 1897 and 1902 (Preston Scientific Society, 1903). It was also reported from the 10 km square SD32 by Perring and Walters (1962). Today it occurs at Lytham St Anne’s and more rarely further north around Halton and Warton.

",Mediterranean–Temperate
Doronicum columnae x pardalianches x plantagineum = D. x excelsum,COMPOSITAE,Doronicum,columnae x pardalianches x plantagineum = D. x excelsum,Harpur-Crewe's Leopard's-bane,neophyte,(N.E.Br.) Stace,Vas_649.1,,Text,Alien hybrid
Doronicum pardalianches,COMPOSITAE,Doronicum,pardalianches,Leopard's Bane,neophyte,L.,Vas_648,,"
Neophyte. This is a native of western Europe and has been cultivated in Britain since the 16th century. It was first recorded in the wild in 1633 and today occurs throughout Britain but much more rarely in Ireland.
Rare (14). Leopard’s-bane was first recorded in northern Lancashire from a roadside near Chipping in 1941 (H.E.B.) where it still occurs. Today it is found in a few scattered localities, mostly in the western half of VC 60.

",Alien (European)
Doronicum pardalianches x plantagineum = D. x willdenowii,COMPOSITAE,Doronicum,pardalianches x plantagineum = D. x willdenowii,,neophyte,(Rouy) A.W.Hill,Vas_649.3,,Text,Alien hybrid
Echinops bannaticus,COMPOSITAE,Echinops,bannaticus,Blue Globe Thistle,neophyte,Rochel ex Schrad.,Vas_7283,,"
Neophyte. This is a native of south-eastern Europe as far east as the Crimea and was first brought into British cultivation in 1832. It is widely planted in gardens and today it is found in scattered localities but mostly in urban and suburban areas of the British Isles.
Very rare (3). In northern Lancashire Blue Globe-thistle was found by the Lancaster Canal near Carnforth (SD46Z, Livermore and Livermore, 1989) and from the sand dunes at Lytham St Anne’s (SD32N) in 1994 (E.F.G.). There are also unlocalised records in the ‘New Atlas’ for the 10 km squares SD34 and 43, which may be errors.

",Alien (Balkan)
Erigeron acris,COMPOSITAE,Erigeron,acris,Blue Fleabane,native,L.,Vas_733,,Text,Circumboreal–Temperate
Erigeron canadensis,COMPOSITAE,Erigeron,canadensis,Canadian Fleabane,neophyte,L.,Vas_735,,Text,Alien (North American)
Erigeron karvinskianus,COMPOSITAE,Erigeron,karvinskianus,Mexican Fleabane,neophyte,DC.,Vas_736,,"
Neophyte. Mexican Fleababe is a native of Central America and has been cultivated in Britain since 1836. It is widely grown in frost-free areas and has become established in the wild in southern parts of the British Isles, especially in south-western England. It was first found naturalised in the Channel Islands in 1860.
Very rare (2). In northern Lancashire E. karvinskianus was found naturalised on a wall by the R. Ribble, Preston (SD52J) in 2008 and near Poulton-le-Fylde (SD33P) also in 2008 (both Anon).

",Alien (Central American)
Erigeron philadelphicus,COMPOSITAE,Erigeron,philadelphicus,,neophyte,L.,Vas_7300,,"
Neophyte. This is a native of North America and was introduced into British gardens in 1778. It was recorded in the wild in 1928 and today occurs in a few localities in southern England and occasionally elsewhere.
In northern Lancashire E. philadelphus was found in Eaves Wood, Silverdale (SD47T) in 1963 (A.E.R.).

",Alien (North American)
Erigeron sumatrensis,COMPOSITAE,Erigeron,sumatrensis,,neophyte,Retz.,Vas_2633,,Text,Alien (South American)
Eupatorium cannabinum,COMPOSITAE,Eupatorium,cannabinum,Hemp Agrimony,native,L.,Vas_763,,"
European Temperate element.
This is a robust perennial herb of base-enriched soils found in a wide range of damp or wet habitats in both wooded and non-wooded places (BH11). Hemp-agrimony is found in England, Wales and Ireland but in Scotland appears to occur mostly in coastal areas except on the north coast and it also occurs in central Scotland between Edinburgh and Glasgow.
Frequent (91). In northern Lancashire E. cannabinum is found in the north and east of the region with only a few records in coastal areas of VC 60. Wheldon and Wilson (1907) described Hemp-agrimony as especially common in the west of VC 60 suggesting that there have been losses in this part of the area over the last 100 years. There has been no change in its distribution nationally.


===== 51 Escalloniaceae.doc =====
",Eurosiberian–Temperate
Filago germanica,COMPOSITAE,Filago,germanica,,native,"L., non Huds.",Vas_830,,Text,Mediterranean–Temperate
Galinsoga quadriradiata,COMPOSITAE,Galinsoga,quadriradiata,Shaggy Soldier,neophyte,Ruiz & Pav.,Vas_870,,"
Neophyte. This is a native of Central and South America and was perhaps originally mistaken for G. parviflora. It was first found in the wild in Britain in 1909 and today occurs in ruderal habitats throughout Britain but mostly in England where it seems to be becoming more frequent.
Occasional (28). Shaggy-soldier was first found in northern Lancashire from Lytham tip and St Anne’s in 1962 (A.E.R.). Since then it has become common on the Fylde coast in Blackpool and Lytham St Anne’s and occurs occasionally elsewhere, mostly in urban areas in the west of the region.

",Alien (American)
Glebionis segetum,COMPOSITAE,Glebionis,segetum,Corn Marigold,archaeophyte,(L.) Fourr.,Vas_504,,"
Archeophyte with a European Southern-temperate distribution.
There is a continuous archaeological record in Britain for Corn Marigold from the Iron Age onwards. It is found as an annual species of usually light soils, often deficient in calcium, in cultivated and waste ground (BH4) throughout the British Isles. It was formerly a serious weed in grain crops.
Frequent (95). C. segetum was first recorded in northern Lancashire from Roman deposits at Ribchester (Huntley and Hillam, 2000) and has been found in historic times as a weed of lowland areas in the west of VC 60 and more occasionally in the Ribble valley. Until the late 1960s it particularly favoured the light soils reclaimed from former mosses where, with Galeopsis speciosa, it could be spectacularly colourful amongst ripening cereal crops. However with changes in agricultural practices it has become much rarer and is now usually confined to field margins and waste places. This decline is reflected nationally (‘New Atlas’, ‘Local Change’).

",Mediterranean–Temperate
Gnaphalium uliginosum,COMPOSITAE,Gnaphalium,uliginosum,Marsh Cudweed,native,L.,Vas_941,,"
Eurasian Boreo-temperate element.
Marsh Cudweed occurs in open, damp or muddy places in a variety of habitats. It is particularly characteristic of trampled field entrances, muddy pond margins and the draw-down zone of reservoirs (BH11, 13). It is found throughout the British Isles.
Frequent (212). In northern Lancashire it is particularly common in the lowland, west of the area; whilst it occurs throughout the region it is less frequent in eastern parts and in Lancashire VC 64. Whilst there appears to have been no change in its distribution locally both the ‘New Atlas’ and ‘Local Change’ report increases nationally.

",Circumboreal–Temperate
Guizotia abyssinica,COMPOSITAE,Guizotia,abyssinica,Niger,neophyte,(L.f.) Cass.,Vas_4429,,"
Neophyte. This is a casual species of waste ground and tips. It is a native of eastern Africa and was introduced into British gardens by 1806. It was known in the wild by 1876 and today it is found in scattered localities in Britain but most often in south-eastern England.
Very rare (2). It was recorded from Kirkham (unlocalised) in 1964 (J.H.) and from Blackpool tip (SD33I) in 1966 (J.H. & A.E.R.).

",Alien (African)
Helianthus annuus,COMPOSITAE,Helianthus,annuus,Sunflower,neophyte,L.,Vas_957,,"
Neophyte. This tall, showy, annual species was introduced into Britain by 1596. It is a native of North America and was first recorded in the wild in 1902. Besides being grown in gardens it is also grown as a field crop in southern Britain. It is found throughout the British Isles but especially in central and southern Britain.
Rare (7). In northern Lancashire this was first recorded by Bailey (1910) from sand dunes at St Anne’s. Since 1964 it has been found in a few scattered localities in the west of the area.

",Alien (North American)
